rule_id,priority,form_pattern,lemma_pattern,ud_upos_pattern,ud_deprel_pattern,ud_feats_pattern,ud_head_lemma_pattern,ud_head_upos_pattern,ud_head_feats_pattern,br_cat,br_subtype,needs_review,notes
there-expletive,500,*,there,PRON,expl,*,*,*,*,pronoun,expletive,false,Expletive there is treated as a pronoun.
preposition-there-locative,495,*,there,PRON,*,*,*,*,*,preposition,intransitive,false,Non-existential there is treated as an intransitive preposition; expletive there is handled separately.
there-review,490,*,there,PRON,*,*,*,*,*,pronoun,there_form,true,Non-expletive there is deferred to later cleanup.
negative-enclitic-nt,480,n't|n’t|nt,not,PART,*,*,*,*,*,morpheme,negative_enclitic,false,Contracted n't is treated as a negative morpheme rather than a separate word.
determiner-articles,450,*,a|an|the,DET,*,*,*,*,*,determinative,article,false,Articles are determinatives.
determiner-foreign-une,449,Une|une,une,DET,det,*Foreign=Yes*,*,X,*,determinative,article,false,Foreign-language une is treated as an article-like determinative when UD tags it as DET before an X head.
foreign-name-mat-review,448,Mat,Mat,DET,det,*,Fereder,X,*,x,foreign_component,true,Mat in the quoted foreign string Mat Fereder is not treated as a determinative.
determiner-quantificational,440,*,all|another|any|both|each|either|every|few|many|more|most|neither|no|none|some,DET|PRON,*,*,*,*,*,determinative,quantificational,false,Quantificational determinatives keep their category in headed and headless uses.
determiner-quantificational-marker-cconj,439,*,both|either|neither,CCONJ,*,*,*,*,*,determinative,quantificational,false,Marker-like uses of both either and neither remain determinatives even when UD tags them as CCONJ.
determiner-quantificational-marker-adv,438,*,both|either|neither,ADV,*,*,*,*,*,determinative,quantificational,false,Marker-like uses of both either and neither remain determinatives even when UD tags them as ADV.
numerative-half-noun,439,*,half,DET|PRON|ADJ|NOUN,*,*,*,*,*,noun,fractional,false,Half is treated as a noun, including uses UD tags as DET or ADJ.
numerative-cardinal-factor,437,*,zero|one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|thirty|forty|fifty|sixty|seventy|eighty|ninety|twenty-one|twenty-two|twenty-three|twenty-four|twenty-five|twenty-six|twenty-seven|twenty-eight|twenty-nine|thirty-one|thirty-two|thirty-three|thirty-four|thirty-five|thirty-six|thirty-seven|thirty-eight|thirty-nine|forty-one|forty-two|forty-three|forty-four|forty-five|forty-six|forty-seven|forty-eight|forty-nine|fifty-one|fifty-two|fifty-three|fifty-four|fifty-five|fifty-six|fifty-seven|fifty-eight|fifty-nine|sixty-one|sixty-two|sixty-three|sixty-four|sixty-five|sixty-six|sixty-seven|sixty-eight|sixty-nine|seventy-one|seventy-two|seventy-three|seventy-four|seventy-five|seventy-six|seventy-seven|seventy-eight|seventy-nine|eighty-one|eighty-two|eighty-three|eighty-four|eighty-five|eighty-six|eighty-seven|eighty-eight|eighty-nine|ninety-one|ninety-two|ninety-three|ninety-four|ninety-five|ninety-six|ninety-seven|ninety-eight|ninety-nine,NUM,compound,*NumType=Card*,hundred|thousand|million|billion|trillion,NUM,*,determinative,cardinal_factor,false,Word-form cardinal factors in magnitude constructions are determinatives functioning as modifiers.
numerative-cardinal-determiner,436,*,zero|one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|thirty|forty|fifty|sixty|seventy|eighty|ninety|twenty-one|twenty-two|twenty-three|twenty-four|twenty-five|twenty-six|twenty-seven|twenty-eight|twenty-nine|thirty-one|thirty-two|thirty-three|thirty-four|thirty-five|thirty-six|thirty-seven|thirty-eight|thirty-nine|forty-one|forty-two|forty-three|forty-four|forty-five|forty-six|forty-seven|forty-eight|forty-nine|fifty-one|fifty-two|fifty-three|fifty-four|fifty-five|fifty-six|fifty-seven|fifty-eight|fifty-nine|sixty-one|sixty-two|sixty-three|sixty-four|sixty-five|sixty-six|sixty-seven|sixty-eight|sixty-nine|seventy-one|seventy-two|seventy-three|seventy-four|seventy-five|seventy-six|seventy-seven|seventy-eight|seventy-nine|eighty-one|eighty-two|eighty-three|eighty-four|eighty-five|eighty-six|eighty-seven|eighty-eight|eighty-nine|ninety-one|ninety-two|ninety-three|ninety-four|ninety-five|ninety-six|ninety-seven|ninety-eight|ninety-nine|hundred|thousand|million|billion|trillion,NUM,nummod,*NumType=Card*,*,*,*,determinative,cardinal,false,Word-form cardinals in determiner function are determinatives.
numerative-cardinal-fused-head,435,*,zero|one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|thirty|forty|fifty|sixty|seventy|eighty|ninety|twenty-one|twenty-two|twenty-three|twenty-four|twenty-five|twenty-six|twenty-seven|twenty-eight|twenty-nine|thirty-one|thirty-two|thirty-three|thirty-four|thirty-five|thirty-six|thirty-seven|thirty-eight|thirty-nine|forty-one|forty-two|forty-three|forty-four|forty-five|forty-six|forty-seven|forty-eight|forty-nine|fifty-one|fifty-two|fifty-three|fifty-four|fifty-five|fifty-six|fifty-seven|fifty-eight|fifty-nine|sixty-one|sixty-two|sixty-three|sixty-four|sixty-five|sixty-six|sixty-seven|sixty-eight|sixty-nine|seventy-one|seventy-two|seventy-three|seventy-four|seventy-five|seventy-six|seventy-seven|seventy-eight|seventy-nine|eighty-one|eighty-two|eighty-three|eighty-four|eighty-five|eighty-six|eighty-seven|eighty-eight|eighty-nine|ninety-one|ninety-two|ninety-three|ninety-four|ninety-five|ninety-six|ninety-seven|ninety-eight|ninety-nine|hundred|thousand|million|billion|trillion,NUM,*,*NumType=Card*,*,*,*,determinative,cardinal_fused_head,false,Word-form cardinals outside simple determiner position are treated as fused-head determinatives unless a narrower rule applies.
numerative-cardinal-fused-head-one-of-pron,434,*,one,PRON,*,*NextLemma=of*,*,*,*,determinative,cardinal_fused_head,false,PRON one followed by of is treated as a cardinal fused-head determinative in partitives.
pronoun-one-reciprocal,436,*,one,PRON,*,*PronType=Rcp*,*,*,*,pronoun,reciprocal,false,Reciprocal one in one another remains a pronoun.
